iso_code;continent;location;date;new_cases;total_cases;new_deaths;total_deaths
MAC;Asia;Macao;2020-12-18;0.0;46.0;;
WSM;Oceania;Samoa;2021-12-11;0.0;3.0;;
LTU;Europe;Lithuania;2021-06-18;77.0;278254.0;3.0;4360.0
OWID_HIC;;High income;2021-05-16;90288.0;75731017.0;1129.0;1479488.0
MHL;Oceania;Marshall Islands;2021-12-04;0.0;4.0;;
BFA;Africa;Burkina Faso;2020-06-27;0.0;941.0;0.0;53.0
BLR;Europe;Belarus;2020-05-05;861.0;18350.0;4.0;107.0
OWID_OCE;;Oceania;2021-11-05;2138.0;327111.0;26.0;3827.0
TCD;Africa;Chad;2020-07-05;1.0;872.0;0.0;74.0
KGZ;Asia;Kyrgyzstan;2021-05-10;254.0;98654.0;5.0;1660.0
VNM;Asia;Vietnam;2022-02-13;26379.0;2510860.0;84.0;38946.0
CZE;Europe;Czechia;2020-04-18;57.0;6606.0;8.0;181.0
GAB;Africa;Gabon;2020-08-30;0.0;8505.0;0.0;53.0
ATG;North America;Antigua and Barbuda;2021-12-10;8.0;4159.0;0.0;117.0
IRL;Europe;Ireland;2022-01-08;26122.0;956720.0;0.0;5952.0
OWID_WRL;;World;2021-05-23;481525.0;167371514.0;9825.0;3577194.0
USA;North America;United States;2021-09-07;209172.0;40440870.0;2071.0;648113.0
BDI;Africa;Burundi;2020-06-18;0.0;104.0;0.0;1.0
OWID_SAM;;South America;2021-07-17;91505.0;34522908.0;2427.0;1052682.0
SVN;Europe;Slovenia;2020-07-21;24.0;1977.0;1.0;114.0
GUY;South America;Guyana;2020-08-05;12.0;509.0;0.0;22.0
MWI;Africa;Malawi;2021-08-26;136.0;60090.0;18.0;2129.0
OWID_INT;;International;2021-01-07;0.0;721.0;0.0;15.0
SPM;North America;Saint Pierre and Miquelon;2022-02-06;0.0;976.0;0.0;1.0
IRQ;Asia;Iraq;2020-10-14;3857.0;413215.0;51.0;10021.0
KGZ;Asia;Kyrgyzstan;2021-05-03;277.0;96337.0;3.0;1622.0
JAM;North America;Jamaica;2021-06-11;69.0;49179.0;1.0;990.0
DOM;North America;Dominican Republic;2020-11-04;430.0;128278.0;5.0;2257.0
BHS;North America;Bahamas;2021-12-16;21.0;22971.0;5.0;713.0
TGO;Africa;Togo;2021-03-04;135.0;7323.0;3.0;88.0
GIN;Africa;Guinea;2021-10-24;0.0;30626.0;0.0;385.0
AFG;Asia;Afghanistan;2021-11-20;52.0;156864.0;2.0;7301.0
CAF;Africa;Central African Republic;2020-06-24;48.0;3099.0;1.0;38.0
RWA;Africa;Rwanda;2021-07-09;887.0;46837.0;13.0;534.0
TZA;Africa;Tanzania;2020-07-26;0.0;509.0;0.0;21.0
GGY;Europe;Guernsey;2021-09-18;;;;
LBN;Asia;Lebanon;2020-05-10;36.0;845.0;0.0;26.0
MEX;North America;Mexico;2020-07-24;7573.0;378285.0;737.0;42645.0
MCO;Europe;Monaco;2021-08-02;6.0;2897.0;0.0;33.0
VEN;South America;Venezuela;2022-04-16;88.0;522034.0;1.0;5701.0
BTN;Asia;Bhutan;2021-06-19;14.0;1903.0;0.0;1.0
FRA;Europe;France;2021-09-16;13272.0;6979080.0;36.0;115912.0
IRQ;Asia;Iraq;2021-10-05;2470.0;2014104.0;28.0;22420.0
MNP;Oceania;Northern Mariana Islands;2021-11-27;;;;
VNM;Asia;Vietnam;2021-12-16;34062.0;1493237.0;241.0;28857.0
GTM;North America;Guatemala;2021-12-08;418.0;620853.0;9.0;16008.0
NCL;Oceania;New Caledonia;2020-11-17;0.0;30.0;;
BHR;Asia;Bahrain;2021-08-14;124.0;270816.0;0.0;1384.0
TUN;Africa;Tunisia;2020-05-09;2.0;1032.0;0.0;45.0
BEL;Europe;Belgium;2020-04-20;1487.0;39983.0;145.0;5828.0
MLI;Africa;Mali;2021-05-14;14.0;14163.0;2.0;510.0
IRQ;Asia;Iraq;2020-04-10;47.0;1279.0;1.0;70.0
KNA;North America;Saint Kitts and Nevis;2021-10-07;48.0;2294.0;1.0;17.0
MNG;Asia;Mongolia;2021-02-14;58.0;2351.0;0.0;2.0
OWID_UMC;;Upper middle income;2022-03-27;104865.0;124121664.0;835.0;2484724.0
OWID_LMC;;Lower middle income;2020-05-17;13461.0;396491.0;381.0;16125.0
HRV;Europe;Croatia;2020-09-05;311.0;11739.0;2.0;197.0
ESP;Europe;Spain;2020-12-31;18047.0;1928265.0;148.0;50837.0
GMB;Africa;Gambia;2020-07-12;0.0;64.0;0.0;3.0
GTM;North America;Guatemala;2021-05-30;388.0;254225.0;16.0;8137.0
ZAF;Africa;South Africa;2021-07-10;21610.0;2179297.0;265.0;64138.0
PAK;Asia;Pakistan;2020-08-09;634.0;284121.0;14.0;6082.0
PRT;Europe;Portugal;2021-01-15;10663.0;528469.0;159.0;8543.0
JPN;Asia;Japan;2020-05-22;23.0;16385.0;10.0;836.0
PHL;Asia;Philippines;2021-08-27;17261.0;1916461.0;113.0;32841.0
MLI;Africa;Mali;2022-04-13;13.0;30602.0;0.0;729.0
MUS;Africa;Mauritius;2022-02-22;3351.0;153526.0;17.0;895.0
RUS;Europe;Russia;2020-09-22;6109.0;1111157.0;155.0;19575.0
SRB;Europe;Serbia;2020-03-30;44.0;785.0;3.0;16.0
CHN;Asia;China;2020-02-28;326.0;78824.0;44.0;2788.0
